Title,Like,Dislike,Reactions,Views,Comments,Orientamento,URL
#SJW Feminist Festival Crashed By Crowder...In Underwear,179435,5085,184520,20933759,28155,antifeminist,https://youtube.com/watch?v=aWJT0egzAy0
Instant Karma - Feminist Edition,264458,28766,293224,17431065,56528,antifeminist,https://youtube.com/watch?v=uGUsv8-uATE
"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",313440,10080,323520,13237793,116178,antifeminist,https://youtube.com/watch?v=aMcjxSThD54
Student DESTROYS Feminist Teacher with FACTS,342979,29684,372663,12909322,64695,antifeminist,https://youtube.com/watch?v=6W1N_iq7YTg
36 STUPID FEMINIST QUESTIONS ANSWERED,672400,18974,691374,11038257,144926,antifeminist,https://youtube.com/watch?v=8M7KGe2UnmE
DO NOT EVER SAY HELLO TO A FEMINIST,165973,19113,185086,10108804,58663,antifeminist,https://youtube.com/watch?v=Y1LMu8V8ZlI
UNDERCOVER: SJW Fat-Pride Feminist Panel Crashed By Crowder!,86859,3536,90395,9167160,17687,antifeminist,https://youtube.com/watch?v=lPLwiPXyFCg
Man Eats Steak in Front of Feminist Vegan,196989,25514,222503,8650272,93458,antifeminist,https://youtube.com/watch?v=8M12q1z_nRc
Instant karma - Instant justice - Compilation 2016 (Feminist Edition),118642,15946,134588,7491127,23259,antifeminist,https://youtube.com/watch?v=E9A9x13LKyQ
"Feminist ""Mansplaining"" Video Goes Wrong",178629,10938,189567,7135568,27796,antifeminist,https://youtube.com/watch?v=jmeTnVywvwU
Bill Burr on feminism,85755,3044,88799,6552264,6122,antifeminist,https://youtube.com/watch?v=N0vZhz3sN_E
This Is Not A Feminist Song - SNL,109684,3821,113505,6539838,5439,feminist,https://youtube.com/watch?v=YfiLAcERNQ4
Crazy Feminist Gets Triggered by Lyft Driver,241095,3090,244185,6221251,30707,antifeminist,https://youtube.com/watch?v=LNmvEkikg1k
Feminist cringe compilation,109565,5746,115311,6215673,74917,antifeminist,https://youtube.com/watch?v=8Y7L_q65jrE
FEMINISM VS LOGIC (OWNED COMPILATION) #2,88356,5504,93860,6165541,19338,antifeminist,https://youtube.com/watch?v=5cIvH-iZZfA
BuzzFeed: The McDonald's of Feminism,284357,3864,288221,5804196,23528,antifeminist,https://youtube.com/watch?v=8cgFrX0Y8TE
Perché le Femministe non combattono per le Donne Musulmane?,86825,9553,96378,5671572,18784,neutral,https://youtube.com/watch?v=wJkFQohIKNI
Jordan Peterson calmly dismantles feminism infront of two feminists,67075,6934,74009,5643660,22670,antifeminist,https://youtube.com/watch?v=Ddzf9Mm4hdY
FEMINISM VS LOGIC (OWNED COMPILATION) #3,65004,4146,69150,5312800,15977,antifeminist,https://youtube.com/watch?v=8GvwYOfHXMM
We should all be feminists | Chimamanda Ngozi Adichie | TEDxEuston,135083,19181,154264,5175312,21781,feminist,https://youtube.com/watch?v=hg3umXU_qWc
CRAZY Feminist tries to get me fired: BACKFIRES SPECTACULARLY,128966,5483,134449,4604327,32278,antifeminist,https://youtube.com/watch?v=p5TMmxlsLN8
Inside The Weird World of an Islamic 'Feminist' Cult,33928,8749,42677,4595341,20419,neutral,https://youtube.com/watch?v=7bH21w2R0hc
Ali G - Feminism,12810,583,13393,4552482,2134,antifeminist,https://youtube.com/watch?v=oftOCN1jkNo
COTW - FEMINIST BRUCE LEE,113283,839,114122,4419440,7122,antifeminist,https://youtube.com/watch?v=6y43ZpfUswk
Ronda Rousey Vs Feminist Bullshit compilation,64280,1689,65969,4203584,9935,feminist,https://youtube.com/watch?v=frZzlRCdJ-I
Feminists Are Trying to Ruin Boy Scouts,160034,8042,168076,4106138,56658,antifeminist,https://youtube.com/watch?v=0B9QKDbvRXI
Feminist Cringe Compilation #2,54520,5266,59786,3803657,7265,antifeminist,https://youtube.com/watch?v=ePq1pWEZGa8
Potty-Mouthed Princesses Drop F-Bombs for Feminism by FCKH8.com,54040,152374,206414,3789072,61636,feminist,https://youtube.com/watch?v=XqHYzYn3WZw
Daz Watches Crazy Feminists,129733,1640,131373,3482782,31303,antifeminist,https://youtube.com/watch?v=gwZr6mccKWs
Jordan Peterson Leaves Feminist Speechless,51210,1699,52909,3410706,7711,antifeminist,https://youtube.com/watch?v=Mufh9oKYf5Y
MILO YIANNOPOULOS CRUSHES A FEMINIST,39975,2453,42428,3385138,14565,antifeminist,https://youtube.com/watch?v=0n76ZozxQAM
BEST FEMINIST & SJW FAIL COMPILATION 2016 #5 (TRIGGERED EDITION),63032,2622,65654,3243311,26633,antifeminist,https://youtube.com/watch?v=DNrsCGAvvHs
FEMINIST CRINGE COMPILATION 2016,39760,3574,43334,3217560,14985,antifeminist,https://youtube.com/watch?v=ngeiKVA3w10
FEMINIST CRINGE COMPILATION #3,52111,7398,59509,3144715,28741,antifeminist,https://youtube.com/watch?v=2zqiGsYEx2E
Ali G  -  How to troll a Feminist !,17496,1031,18527,3039799,3751,antifeminist,https://youtube.com/watch?v=XS_kqEKSOJw
Can Feminists and Non-Feminists Agree On Gender Equality?,89486,3938,93424,3021040,33887,neutral,https://youtube.com/watch?v=E37swnRU2fs
Instant Karma - Feminist Edition #2,37619,7384,45003,2927296,11731,antifeminist,https://youtube.com/watch?v=vaTr3WE6oEs
Emma Watson alla campagna HeForShe  2014 - Video ufficiale dell'ONU,55195,3852,59047,2813776,10228,feminist,https://youtube.com/watch?v=gkjW9PZBRfk
The Myth of the Gender Wage Gap,102549,11972,114521,2804510,20173,antifeminist,https://youtube.com/watch?v=1oqyrflOQFc
Crazy Feminist Arrested,45940,2014,47954,2800258,33342,antifeminist,https://youtube.com/watch?v=3zHRQn_IShw
Feminists Pay Kids To Hate Men,115826,10365,126191,2780912,31258,antifeminist,https://youtube.com/watch?v=tHRbNBQ4ffo
borat feminist scene,24545,539,25084,2776008,1696,neutral,https://youtube.com/watch?v=NVRCyELQnSw
MEETING THE ENEMY A feminist comes to terms with the Men's Rights movement | Cassie Jaye | TEDxMarin,120702,4149,124851,2635475,12883,feminist,https://youtube.com/watch?v=3WMuzhQXJoY
Bill Burr Intelligently Shuts Down Anti-Trump Feminist,22716,2066,24782,2608700,6235,antifeminist,https://youtube.com/watch?v=sRfdNk1eeMo
FEMINIST CRINGE COMPILATION 2017 #1,42260,3472,45732,2546658,16961,antifeminist,https://youtube.com/watch?v=pI7pAsvqPAk
Feminist Melts Down Over Elevator Joke,63978,2666,66644,2531177,7338,antifeminist,https://youtube.com/watch?v=4qjHYf7MZOM
Lauren Southern clashes with feminists at SlutWalk,52006,3037,55043,2530622,12903,neutral,https://youtube.com/watch?v=7Qv-swaYWL0
50 Questions for Feminists,113563,1824,115387,2493360,19160,antifeminist,https://youtube.com/watch?v=pS46dD7W0yY
FEMINISM vs. FREEDOM OF SPEECH,74489,3692,78181,2487809,35944,antifeminist,https://youtube.com/watch?v=M2KPeMcYsuc
Ivanka Trump's Fake Feminism: The Daily Show,45175,1302,46477,2434182,2410,neutral,https://youtube.com/watch?v=8Kv4F0D210A
Feminists Are Trying to Ruin Comedy,62272,5106,67378,2430127,16919,antifeminist,https://youtube.com/watch?v=sY5bodrZNOE
Feminists: Men Need Consent to Say Hi to Women,47360,4099,51459,2421194,14964,antifeminist,https://youtube.com/watch?v=21NWphbQm18
Top 5 Feminist Fails,37340,5909,43249,2347246,8144,antifeminist,https://youtube.com/watch?v=kfUxhJo-XLM
Dirty Harry on feminism and women's quotas,27125,1162,28287,2346754,6563,antifeminist,https://youtube.com/watch?v=9rcIJIWqYmo
FEMINIST CRINGE COMPILATION #2,42676,8121,50797,2257573,12148,antifeminist,https://youtube.com/watch?v=oydViMQh-DE
MGTOW - Feminists and SJWs getting left speechless compilation,34321,1839,36160,2231365,6942,antifeminist,https://youtube.com/watch?v=dUWmLifQOHY
Emma Watson to United Nations: I'm a feminist,82921,8202,91123,2205095,18262,feminist,https://youtube.com/watch?v=c9SUAcNlVQ4
Instant Karma - Feminist Edition,25038,4798,29836,2200590,8350,antifeminist,https://youtube.com/watch?v=7P1g1K9ZJCk
Dear Fat Feminists... No Thanks! (feat. Tess Holliday) | Louder With Crowder,67383,5689,73072,2186825,12487,antifeminist,https://youtube.com/watch?v=IMBb4StJ4BY
BEST FEMINIST CRINGE COMPILATION 2016 (The Triggering) #2,33912,1679,35591,2171937,12838,antifeminist,https://youtube.com/watch?v=Z3i576dLS-I
Chi ha bisogno del femminismo?,30996,10513,41509,2073614,11549,feminist,https://youtube.com/watch?v=In8jWBlc8xo
San E - FEMINIST(페미니스트),107800,23870,131670,2071390,31566,feminist,https://youtube.com/watch?v=QInRQ8zEGyM
"Feminism, hypocrisy, and the Olympics",64384,2102,66486,2054622,6138,antifeminist,https://youtube.com/watch?v=D03h8JSgW04
Bill Maher vs Feminism,38250,2161,40411,2043835,8691,antifeminist,https://youtube.com/watch?v=x64cy3Bcr98
i need feminism because compliments,92581,2861,95442,2024121,18224,feminist,https://youtube.com/watch?v=Zo2dTzRdypY
The Great Feminists in Feminism Herstory Hall of Lady Fame | Full Frontal with Samantha Bee | TBS,18353,5539,23892,2006667,1662,neutral,https://youtube.com/watch?v=TOzQrOPrjwk
Milo Yiannopoulos Hates Feminism,46091,2728,48819,1995632,1399,antifeminist,https://youtube.com/watch?v=wiESisEL43c
Why 'feminism' poisons EVERYTHING,35187,4952,40139,1980563,16189,antifeminist,https://youtube.com/watch?v=FWxAljFlb-c
IF men acted like FEMINISTS (OMG SEXUAL OBJECTS!!!!),67845,4319,72164,1934808,17370,antifeminist,https://youtube.com/watch?v=CZoABBMQ6f4
MILO Schools Black Feminist NAACP President,33944,866,34810,1892310,4310,antifeminist,https://youtube.com/watch?v=M3ij1-VB9YA
Red Dead Redemption 2 - Beating Up Annoying Feminist,71365,15039,86404,1866731,20172,antifeminist,https://youtube.com/watch?v=MPYAM9AfRHo
Feminists GET OWNED - Compilation 2016 (Cringe & Karma),33519,2498,36017,1858408,4936,antifeminist,https://youtube.com/watch?v=2lTVkiqy6To
BIll Burr vs Feminist Moron Meryl Streep,20293,1929,22222,1826556,6607,antifeminist,https://youtube.com/watch?v=zPhCYkaTvS0
Feminism 2.0,48893,11269,60162,1752702,11231,feminist,https://youtube.com/watch?v=ZR9FHKKbMZo
FAIL: Emma Watson is a Dumb #SJW Feminist  | Louder With Crowder,47842,6115,53957,1733380,10385,antifeminist,https://youtube.com/watch?v=II-fuitLb8M
Red Dead Redemption 2 - Annoying Feminist Fed To Alligator,73074,9942,83016,1714179,15411,antifeminist,https://youtube.com/watch?v=mZ7RicfseRU
FEMINISM VS LOGIC (OWNED COMPILATION),29972,727,30699,1656397,4545,antifeminist,https://youtube.com/watch?v=bAL6mSJjsS4
Buzzfeed Feminist Sues 13 Year Old For Online Bullying,58289,6105,64394,1644467,18031,antifeminist,https://youtube.com/watch?v=6Xyp8yqEaVQ
Top 50 Most Viewed Feminist Fails OF ALL TIME! Part 1,26769,2640,29409,1638426,3763,antifeminist,https://youtube.com/watch?v=XRDnIQoUH2Y
mras and feminists arguing at u of t mra event,6130,18144,24274,1630317,27676,neutral,https://youtube.com/watch?v=nvYyGTmcP80
Feminism and the Disposable Male,48239,3132,51371,1625115,31991,antifeminist,https://youtube.com/watch?v=vp8tToFv-bA
FEMINIST CRINGE COMPILATION,32570,4526,37096,1614888,9177,antifeminist,https://youtube.com/watch?v=m4bkQ8igOYc
Samurai Jack: Feminism in a Nutshell,20864,14033,34897,1577704,5309,antifeminist,https://youtube.com/watch?v=2ZHX2geBd_U
Student DESTROYS Feminist Teacher With FACTS #2,27508,2418,29926,1577341,10029,antifeminist,https://youtube.com/watch?v=4PTHxzHmQ3w
ANTI-FEMINIST PROTEST PRANK!,58053,1985,60038,1572806,7863,antifeminist,https://youtube.com/watch?v=SBoT9mmtTO8
"Liberals, Feminists, and SJWs Getting Roasted Compilation!!!",18106,793,18899,1569652,4233,antifeminist,https://youtube.com/watch?v=xadK66_CS6A
Feminists That MAKE ME CRINGE,45731,1229,46960,1557744,14391,antifeminist,https://youtube.com/watch?v=WykDrFHt0No
Logical Woman DESTROYS Feminists with FACTS,65670,2456,68126,1508988,11757,antifeminist,https://youtube.com/watch?v=ameAMNaQ0rY
Milo Yiannopoulos Ends Feminist Emily Grossman's Career,24542,2789,27331,1505692,3868,antifeminist,https://youtube.com/watch?v=rwW9oVvxuAs
Jordan Peterson DESTROYS British Feminist,44981,2944,47925,1484833,14646,antifeminist,https://youtube.com/watch?v=mkxiSzdQ7C8
Feminists on an Island with Bear Grylls Part 1,32792,1615,34407,1477072,15834,antifeminist,https://youtube.com/watch?v=RSr8Kp564G0
Modern Feminism Is Ruining Our Society Proof,58228,2499,60727,1418482,11451,antifeminist,https://youtube.com/watch?v=dD5FhhK-UuM
Feminist Makeup Tutorial (PARODY),40434,1276,41710,1386070,5409,antifeminist,https://youtube.com/watch?v=lET-WXTsSwc
Feminist Cringe Compilation *TRIGGER ALERT*,18606,1097,19703,1367587,20168,antifeminist,https://youtube.com/watch?v=Y_zfgWRM1q0
Feminist Hypocrisy,20463,1087,21550,1350909,8562,antifeminist,https://youtube.com/watch?v=BuFuyp8aq2A
Feminism with Bear Grylls Episode 1,19480,800,20280,1342123,9550,antifeminist,https://youtube.com/watch?v=w7NoW703iQY
Russian feminist attacks men with bleach for crime of ‚Äúmanspreading‚Äù | Sheila Gunn Reid,48290,40000,52290,1331124,23994,neutral,https://youtube.com/watch?v=WzVX-Y63kOg
Dr. Umar Johnson confronted by LGBT Feminist during Xseed in Life program KC 2015,25620,1917,27537,1312774,5089,neutral,https://youtube.com/watch?v=MBpu_MWxYtM
